trader,timestamp,a1_sum_buy,a1_mean_buy,a1_median_buy,a1_min_buy,a1_max_buy,a1_vol_sum_buy,a1_vol_mean_buy,a1_vol_median_buy,a1_vol_min_buy,a1_vol_max_buy, a1_sum_sell,a1_mean_sell,a1_median_sell,a1_min_sell,a1_max_sell,a1_vol_sum_sell,a1_vol_mean_sell,a1_vol_median_sell,a1_vol_min_sell,a1_vol_max_sell,diff_a1_sum_buy,diff_a1_mean_buy,diff_a1_median_buy,diff_a1_min_buy,diff_a1_max_buy,diff_a1_vol_sum_buy,diff_a1_vol_mean_buy,diff_a1_vol_median_buy,diff_a1_vol_min_buy,diff_a1_vol_max_buy, diff_a1_sum_sell,diff_a1_mean_sell,diff_a1_median_sell,diff_a1_min_sell,diff_a1_max_sell,diff_a1_vol_sum_sell,diff_a1_vol_mean_sell,diff_a1_vol_median_sell,diff_a1_vol_min_sell,diff_a1_vol_max_sell,severity,labels
T_2,2019-04-01 12:17,-0.36241923731041936,-0.5553670162114257,-0.5553553984708643,-0.5552192986908195,-0.5555009325291638,-0.32716668313714764,-0.3041543583551017,-0.3041543583551017,-0.295731695404563,-0.30805976010193625,-0.8945779927866918,-1.3005824850108627,-1.3005220308196495,-1.3004479574646086,-1.3007237948829686,-0.7983861260072055,-0.7593230809241975,-0.7357286454856865,-0.7045435618374623,-0.7801085768596324,-0.43546917723265677,-1.9484816108727636,-1.949077574967559,-1.9631006060370493,-1.933068201397351,-0.033764068922288386,-0.04865195835319925,-0.04865195835319925,-0.051385490661046654,-0.04561869225900666,0.01113922370181451,-0.0329661485242196,-0.03294690792565487,-0.033005604200836834,-0.03294285180998952,-0.019056961981357503,-0.016536937449399644,-0.016337627326836166,-0.015652576016527888,-0.016586596949248904,0.5324543063873187,1
T_3,2019-04-01 12:17,-0.36241923731041936,-0.5553670162114257,-0.5553553984708643,-0.5552192986908195,-0.5555009325291638,-0.32716668313714764,-0.3041543583551017,-0.3041543583551017,-0.295731695404563,-0.30805976010193625,0.30883742299443956,0.6381982709832192,0.6387184341025413,0.6413978662246314,0.6334231993087466,-0.0044061044481633945,-0.10673642621111826,-0.08327637227446258,-0.07959278732055008,-0.16808260455363785,0.056448820462827815,0.03799213844401716,0.037990562050832746,0.037751934731481716,0.03826147096574585,0.004310306670930433,0.0009356145837153702,0.0009356145837153702,0.0009881825127124357,0.0008772825434424356,1.191896936094153,1.714239723259419,1.7132392121340536,1.7162914184435156,1.7130282941194552,0.7985774544568858,0.5794542882269634,0.5724704615323392,0.5374051099007908,0.592013921880884,0.4875026035157896,1
T_4,2019-04-01 12:17,-0.36241923731041936,-0.5553670162114257,-0.5553553984708643,-0.5552192986908195,-0.5555009325291638,-0.32716668313714764,-0.3041543583551017,-0.3041543583551017,-0.295731695404563,-0.30805976010193625,0.30883742299443956,0.6381982709832192,0.6387184341025413,0.6413978662246314,0.6334231993087466,-0.0044061044481633945,-0.10673642621111826,-0.08327637227446258,-0.07959278732055008,-0.16808260455363785,0.056448820462827815,0.03799213844401716,0.037990562050832746,0.037751934731481716,0.03826147096574585,0.004310306670930433,0.0009356145837153702,0.0009356145837153702,0.0009881825127124357,0.0008772825434424356,1.191896936094153,1.714239723259419,1.7132392121340536,1.7162914184435156,1.7130282941194552,0.7985774544568858,0.5794542882269634,0.5724704615323392,0.5374051099007908,0.592013921880884,0.4875026035157896,-1
