trader,timestamp,a1_sum_buy,a1_mean_buy,a1_median_buy,a1_min_buy,a1_max_buy,a1_vol_sum_buy,a1_vol_mean_buy,a1_vol_median_buy,a1_vol_min_buy,a1_vol_max_buy, a1_sum_sell,a1_mean_sell,a1_median_sell,a1_min_sell,a1_max_sell,a1_vol_sum_sell,a1_vol_mean_sell,a1_vol_median_sell,a1_vol_min_sell,a1_vol_max_sell,diff_a1_sum_buy,diff_a1_mean_buy,diff_a1_median_buy,diff_a1_min_buy,diff_a1_max_buy,diff_a1_vol_sum_buy,diff_a1_vol_mean_buy,diff_a1_vol_median_buy,diff_a1_vol_min_buy,diff_a1_vol_max_buy, diff_a1_sum_sell,diff_a1_mean_sell,diff_a1_median_sell,diff_a1_min_sell,diff_a1_max_sell,diff_a1_vol_sum_sell,diff_a1_vol_mean_sell,diff_a1_vol_median_sell,diff_a1_vol_min_sell,diff_a1_vol_max_sell,severity,labels
T_1,2019-04-01 11:30,-0.42687551901897336,-0.624675521340728,-0.6246348071955826,-0.6242437167240552,-0.6250965274669359,-0.4085609564713549,-0.36905630098444003,-0.3667695515614893,-0.3546479877003972,-0.3759364369360614,-0.8051203015266725,-1.3572336863127838,-1.3572051180157316,-1.3570741788944503,-1.357146325765373,-0.6595244539653575,-0.5844452275564442,-0.5764787059351989,-0.5420029998337567,-0.6184421363216444,-0.0017335230908836251,0.00012516871016079572,6.383962590401487e-05,0.0,0.00029919532522576167,0.03890489755683131,0.01199554270548721,0.011692303521352808,0.011039960848800111,0.012572289468284068,-0.27321680079142074,-1.509528131377507,-1.5096430496078852,-1.5143794207365058,-1.5042749408074263,-3.0914809208671072,-4.834570335472382,-4.817012731977057,-4.857792055669976,-4.645663754725422,0.4900013331200346,1
T_2,2019-04-01 11:30,-0.42687551901897336,-0.624675521340728,-0.6246348071955826,-0.6242437167240552,-0.6250965274669359,-0.4085609564713549,-0.36905630098444003,-0.3667695515614893,-0.3546479877003972,-0.3759364369360614,-0.8051203015266725,-1.3572336863127838,-1.3572051180157316,-1.3570741788944503,-1.357146325765373,-0.6595244539653575,-0.5844452275564442,-0.5764787059351989,-0.5420029998337567,-0.6184421363216444,-0.0017335230908836251,0.00012516871016079572,6.383962590401487e-05,0.0,0.00029919532522576167,0.03890489755683131,0.01199554270548721,0.011692303521352808,0.011039960848800111,0.012572289468284068,0.023849652504880987,0.015302417317604506,0.015311627280673217,0.014846857066044175,0.015874081095272927,0.048400488424612614,0.00933344601056478,0.012132497382567614,0.0020694351434224997,0.015481576214158032,0.4900013331200346,1
T_4,2019-04-01 11:30,-0.36241923731041936,-0.5553670162114257,-0.5553553984708643,-0.5552192986908195,-0.5555009325291638,-0.32716668313714764,-0.3041543583551017,-0.3041543583551017,-0.295731695404563,-0.30805976010193625,-0.8945779927866918,-1.3005824850108627,-1.3005220308196495,-1.3004479574646086,-1.3007237948829686,-0.7983861260072055,-0.7593230809241975,-0.7357286454856865,-0.7045435618374623,-0.7801085768596324,0.056448820462827815,0.03799213844401716,0.037990562050832746,0.037751934731481716,0.03826147096574585,0.004310306670930433,0.0009356145837153702,0.0009356145837153702,0.0009881825127124357,0.0008772825434424356,-0.5953549394793509,-1.8278647157597179,-1.8267978877315447,-1.8300524035046812,-1.8265729894331495,-1.2695566577104356,-1.8395689218712161,-1.8173976638372549,-1.8130900552478135,-1.7747658735696326,0.5174928576663897,-1
T_6,2019-04-01 11:30,-0.42687551901897336,-0.624675521340728,-0.6246348071955826,-0.6242437167240552,-0.6250965274669359,-0.4085609564713549,-0.36905630098444003,-0.3667695515614893,-0.3546479877003972,-0.3759364369360614,-0.8051203015266725,-1.3572336863127838,-1.3572051180157316,-1.3570741788944503,-1.357146325765373,-0.6595244539653575,-0.5844452275564442,-0.5764787059351989,-0.5420029998337567,-0.6184421363216444,-0.0017335230908836251,0.00012516871016079572,6.383962590401487e-05,0.0,0.00029919532522576167,0.03890489755683131,0.01199554270548721,0.011692303521352808,0.011039960848800111,0.012572289468284068,0.023849652504880987,0.015302417317604506,0.015311627280673217,0.014846857066044175,0.015874081095272927,0.048400488424612614,0.00933344601056478,0.012132497382567614,0.0020694351434224997,0.015481576214158032,0.4900013331200346,1
