trader,timestamp,a1_sum_buy,a1_mean_buy,a1_median_buy,a1_min_buy,a1_max_buy,a1_vol_sum_buy,a1_vol_mean_buy,a1_vol_median_buy,a1_vol_min_buy,a1_vol_max_buy, a1_sum_sell,a1_mean_sell,a1_median_sell,a1_min_sell,a1_max_sell,a1_vol_sum_sell,a1_vol_mean_sell,a1_vol_median_sell,a1_vol_min_sell,a1_vol_max_sell,diff_a1_sum_buy,diff_a1_mean_buy,diff_a1_median_buy,diff_a1_min_buy,diff_a1_max_buy,diff_a1_vol_sum_buy,diff_a1_vol_mean_buy,diff_a1_vol_median_buy,diff_a1_vol_min_buy,diff_a1_vol_max_buy, diff_a1_sum_sell,diff_a1_mean_sell,diff_a1_median_sell,diff_a1_min_sell,diff_a1_max_sell,diff_a1_vol_sum_sell,diff_a1_vol_mean_sell,diff_a1_vol_median_sell,diff_a1_vol_min_sell,diff_a1_vol_max_sell,severity,labels
T_1,2019-04-01 11:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.6332,-30.8166,-30.8166,-30.6916,-30.9416,-2.0,-1.0,-1.0,-1.0,-1.0,0.4900013331200346,1
T_2,2019-04-01 11:27,228.6496,28.581200000000003,28.5666,28.1916,29.0,8.0,1.0,1.0,1.0,1.0,121.6164,30.4041,30.4416,29.791600000000003,30.9416,4.0,1.0,1.0,1.0,1.0,228.6496,28.581200000000003,28.5666,28.1916,29.0,8.0,1.0,1.0,1.0,1.0,121.6164,30.4041,30.4416,29.791600000000003,30.9416,4.0,1.0,1.0,1.0,1.0,0.4900013331200346,1
T_3,2019-04-01 11:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,29.0,8.0,8.0,8.0,8.0,8.0,-228.6496,-28.581200000000003,-28.5666,-28.1916,-29.0,-8.0,-1.0,-1.0,-1.0,-1.0,-92.6164,-1.4040999999999997,-1.441600000000001,-0.7916000000000025,-1.941600000000001,4.0,7.0,7.0,7.0,7.0,0.47502081252106,1
