trader,timestamp,a1_sum_buy,a1_mean_buy,a1_median_buy,a1_min_buy,a1_max_buy,a1_vol_sum_buy,a1_vol_mean_buy,a1_vol_median_buy,a1_vol_min_buy,a1_vol_max_buy, a1_sum_sell,a1_mean_sell,a1_median_sell,a1_min_sell,a1_max_sell,a1_vol_sum_sell,a1_vol_mean_sell,a1_vol_median_sell,a1_vol_min_sell,a1_vol_max_sell,diff_a1_sum_buy,diff_a1_mean_buy,diff_a1_median_buy,diff_a1_min_buy,diff_a1_max_buy,diff_a1_vol_sum_buy,diff_a1_vol_mean_buy,diff_a1_vol_median_buy,diff_a1_vol_min_buy,diff_a1_vol_max_buy, diff_a1_sum_sell,diff_a1_mean_sell,diff_a1_median_sell,diff_a1_min_sell,diff_a1_max_sell,diff_a1_vol_sum_sell,diff_a1_vol_mean_sell,diff_a1_vol_median_sell,diff_a1_vol_min_sell,diff_a1_vol_max_sell,severity,labels
T_4,2019-04-01 10:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-144.20839999999998,0.7916000000000025,0.7916000000000025,0.7916000000000025,0.7916000000000025,21.0,34.333333333333336,34.0,35.0,34.0,0.5572478545985555,-1
T_9,2019-04-01 10:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,37.0,37.0,37.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5099986668799655,-1
T_1,2019-04-01 10:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,29.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7916000000000025,-0.7916000000000025,-0.7916000000000025,-0.7916000000000025,-0.7916000000000025,-32.0,-32.0,-32.0,-32.0,-32.0,0.4900013331200346,1
T_2,2019-04-01 10:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.0,-29.0,-29.0,-29.0,-29.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.4850044983805899,1
T_1,2019-04-01 10:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,29.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,29.0,4.0,4.0,4.0,4.0,4.0,0.48250714233361025,1
T_1,2019-04-01 10:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.0,-29.0,-29.0,-29.0,-29.0,-4.0,-4.0,-4.0,-4.0,-4.0,0.4875026035157896,1
T_2,2019-04-01 10:57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4900013331200346,1
T_1,2019-04-01 10:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,29.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,29.0,4.0,4.0,4.0,4.0,4.0,0.48250714233361025,1
T_2,2019-04-01 10:58,57.6916,28.8458,28.8458,28.6916,29.0,2.0,1.0,1.0,1.0,1.0,243.2328,30.4041,30.4416,29.791600000000003,30.9416,8.0,1.0,1.0,1.0,1.0,57.6916,28.8458,28.8458,28.6916,29.0,2.0,1.0,1.0,1.0,1.0,214.2328,1.4040999999999997,1.441600000000001,0.7916000000000025,1.941600000000001,4.0,-3.0,-3.0,-3.0,-3.0,0.4900013331200346,1
T_3,2019-04-01 10:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.6916,-28.8458,-28.8458,-28.6916,-29.0,-2.0,-1.0,-1.0,-1.0,-1.0,-243.2328,-30.4041,-30.4416,-29.791600000000003,-30.9416,-8.0,-1.0,-1.0,-1.0,-1.0,0.4900013331200346,1
