trader,timestamp,a1_sum_buy,a1_mean_buy,a1_median_buy,a1_min_buy,a1_max_buy,a1_vol_sum_buy,a1_vol_mean_buy,a1_vol_median_buy,a1_vol_min_buy,a1_vol_max_buy, a1_sum_sell,a1_mean_sell,a1_median_sell,a1_min_sell,a1_max_sell,a1_vol_sum_sell,a1_vol_mean_sell,a1_vol_median_sell,a1_vol_min_sell,a1_vol_max_sell,diff_a1_sum_buy,diff_a1_mean_buy,diff_a1_median_buy,diff_a1_min_buy,diff_a1_max_buy,diff_a1_vol_sum_buy,diff_a1_vol_mean_buy,diff_a1_vol_median_buy,diff_a1_vol_min_buy,diff_a1_vol_max_buy, diff_a1_sum_sell,diff_a1_mean_sell,diff_a1_median_sell,diff_a1_min_sell,diff_a1_max_sell,diff_a1_vol_sum_sell,diff_a1_vol_mean_sell,diff_a1_vol_median_sell,diff_a1_vol_min_sell,diff_a1_vol_max_sell,severity,labels
T_1,2019-04-01 11:10,29.0,29.0,29.0,29.0,29.0,51.0,51.0,51.0,51.0,51.0,87.0,29.0,29.0,29.0,29.0,34.0,11.333333333333334,12.0,9.0,13.0,29.0,29.0,29.0,29.0,29.0,51.0,51.0,51.0,51.0,51.0,58.0,0.0,0.0,0.0,0.0,-44.0,-66.66666666666667,-66.0,-69.0,-65.0,0.4900013331200346,1
T_2,2019-04-01 11:10,143.3248,28.66496,28.6916,28.1916,29.0,5.0,1.0,1.0,1.0,1.0,121.6164,30.4041,30.4416,29.791600000000003,30.9416,4.0,1.0,1.0,1.0,1.0,114.32480000000001,-0.33503999999999934,-0.3083999999999989,-0.8083999999999989,0.0,-46.0,-50.0,-50.0,-50.0,-50.0,34.6164,1.4040999999999997,1.441600000000001,0.7916000000000025,1.941600000000001,-30.0,-10.333333333333334,-11.0,-8.0,-12.0,0.4900013331200346,1
T_6,2019-04-01 11:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-143.3248,-28.66496,-28.6916,-28.1916,-29.0,-5.0,-1.0,-1.0,-1.0,-1.0,-121.6164,-30.4041,-30.4416,-29.791600000000003,-30.9416,-4.0,-1.0,-1.0,-1.0,-1.0,0.4900013331200346,1
