trader,timestamp,a1_sum_buy,a1_mean_buy,a1_median_buy,a1_min_buy,a1_max_buy,a1_vol_sum_buy,a1_vol_mean_buy,a1_vol_median_buy,a1_vol_min_buy,a1_vol_max_buy, a1_sum_sell,a1_mean_sell,a1_median_sell,a1_min_sell,a1_max_sell,a1_vol_sum_sell,a1_vol_mean_sell,a1_vol_median_sell,a1_vol_min_sell,a1_vol_max_sell,diff_a1_sum_buy,diff_a1_mean_buy,diff_a1_median_buy,diff_a1_min_buy,diff_a1_max_buy,diff_a1_vol_sum_buy,diff_a1_vol_mean_buy,diff_a1_vol_median_buy,diff_a1_vol_min_buy,diff_a1_vol_max_buy, diff_a1_sum_sell,diff_a1_mean_sell,diff_a1_median_sell,diff_a1_min_sell,diff_a1_max_sell,diff_a1_vol_sum_sell,diff_a1_vol_mean_sell,diff_a1_vol_median_sell,diff_a1_vol_min_sell,diff_a1_vol_max_sell,severity,labels
T_1,2019-04-01 11:09,87.7916,29.26386666666667,29.0,29.0,29.791600000000003,100.0,33.333333333333336,31.0,30.0,39.0,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,36.0,36.0,36.0,36.0,36.0,87.7916,29.26386666666667,29.0,29.0,29.791600000000003,100.0,33.333333333333336,31.0,30.0,39.0,-86.2084,0.7916000000000025,0.7916000000000025,0.7916000000000025,0.7916000000000025,23.0,32.75,33.0,33.0,32.0,0.4900013331200346,1
T_2,2019-04-01 11:09,457.2991999999999,28.581200000000003,28.5666,28.1916,29.0,16.0,1.0,1.0,1.0,1.0,121.6164,30.4041,30.4416,29.791600000000003,30.9416,4.0,1.0,1.0,1.0,1.0,369.5075999999999,-0.6826666666666661,-0.4333999999999989,-0.8083999999999989,-0.7916000000000025,-84.0,-32.333333333333336,-30.0,-29.0,-38.0,91.8248,0.6124999999999972,0.6499999999999986,0.0,1.1499999999999986,-32.0,-35.0,-35.0,-35.0,-35.0,0.4900013331200346,1
T_3,2019-04-01 11:09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,29.0,29.0,29.0,29.0,9.0,2.25,2.0,2.0,3.0,-457.2991999999999,-28.581200000000003,-28.5666,-28.1916,-29.0,-16.0,-1.0,-1.0,-1.0,-1.0,-5.616399999999999,-1.4040999999999997,-1.441600000000001,-0.7916000000000025,-1.941600000000001,5.0,1.25,1.0,1.0,2.0,0.4900013331200346,1
T_6,2019-04-01 11:09,58.7916,29.3958,29.3958,29.0,29.791600000000003,107.0,53.5,53.5,29.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.7916,29.3958,29.3958,29.0,29.791600000000003,107.0,53.5,53.5,29.0,78.0,-116.0,-29.0,-29.0,-29.0,-29.0,-9.0,-2.25,-2.0,-2.0,-3.0,0.4900013331200346,1
T_9,2019-04-01 11:09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,29.0,29.0,29.0,78.0,78.0,78.0,78.0,78.0,-58.7916,-29.3958,-29.3958,-29.0,-29.791600000000003,-107.0,-53.5,-53.5,-29.0,-78.0,29.0,29.0,29.0,29.0,29.0,78.0,78.0,78.0,78.0,78.0,0.4900013331200346,1
